tune_id,annotated_key,Krumhansl-Schmuckler,Aarden-Essen,Simple Weights,Bellman-Budge,Temperley-Kostka-Payne,Albrecht-Shanahan
chor098,D major,D major (0.90),B minor (0.86),D major (0.91),D major (0.85),D major (0.90),D major (0.89)
chor099,A minor,A minor (0.80),A minor (0.92),A minor (0.95),A minor (0.90),A minor (0.89),A minor (0.97)
chor100,G minor,G minor (0.79),C minor (0.89),C minor (0.88),C minor (0.87),C minor (0.84),C minor (0.94)
chor101,B- major,B- major (0.95),B- major (0.93),B- major (0.97),B- major (0.94),B- major (0.97),B- major (0.97)
chor102,G major,G major (0.90),G major (0.96),G major (0.94),G major (0.95),G major (0.95),G major (0.94)
chor103,B- major,F major (0.88),B- major (0.94),B- major (0.97),B- major (0.98),B- major (0.96),B- major (0.95)
chor104,B minor,B minor (0.85),B minor (0.94),B minor (0.97),B minor (0.93),B minor (0.94),B minor (0.97)
chor105,B minor,B minor (0.91),B minor (0.94),B minor (0.96),B minor (0.90),B minor (0.93),B minor (0.99)
chor106,A major,A major (0.90),A major (0.92),A major (0.97),A major (0.97),A major (0.94),A major (0.97)
chor107,E- major,E- major (0.93),E- major (0.93),E- major (0.96),E- major (0.94),E- major (0.97),E- major (0.97)
chor108,E- major,E- major (0.93),E- major (0.92),E- major (0.96),E- major (0.93),E- major (0.94),E- major (0.97)
chor109,G minor,D minor (0.78),G minor (0.88),G minor (0.87),G minor (0.90),G minor (0.85),G minor (0.92)
chor110,C dorian,C minor (0.87),C minor (0.96),C minor (0.95),C minor (0.89),C minor (0.91),C minor (0.98)
chor111,A minor,A minor (0.90),A minor (0.90),A minor (0.97),A minor (0.88),A minor (0.90),A minor (0.99)
chor112,B minor,B minor (0.81),B minor (0.91),B minor (0.93),B minor (0.94),B minor (0.93),B minor (0.95)
chor113,F dorian,B- minor (0.86),B- minor (0.87),B- minor (0.98),B- minor (0.93),B- minor (0.93),B- minor (0.98)
chor114,A minor,A minor (0.85),A minor (0.92),A minor (0.95),A minor (0.89),A minor (0.90),A minor (0.96)
chor115,B minor,B minor (0.84),B minor (0.92),B minor (0.83),B minor (0.75),D major (0.80),B minor (0.89)
chor116,D major,D major (0.89),D major (0.95),D major (0.96),D major (0.96),D major (0.95),D major (0.95)
chor117,A- major,A- major (0.87),A- major (0.95),A- major (0.95),A- major (0.97),A- major (0.98),A- major (0.93)
chor118,B- major,B- major (0.88),B- major (0.94),B- major (0.96),B- major (0.96),B- major (0.95),B- major (0.93)
chor119,C dorian,C minor (0.80),F minor (0.89),C minor (0.91),F minor (0.78),C minor (0.80),C minor (0.90)
chor120,B minor,B minor (0.85),B minor (0.94),B minor (0.88),D major (0.81),D major (0.85),B minor (0.90)
chor121,A major,A major (0.92),A major (0.96),A major (0.98),A major (0.98),A major (0.97),A major (0.96)
chor122,C dorian,C minor (0.82),C minor (0.95),C minor (0.90),C minor (0.85),C minor (0.90),C minor (0.91)
chor123,A minor,A minor (0.83),A minor (0.93),A minor (0.94),A minor (0.95),A minor (0.93),A minor (0.98)
chor124,G major,G major (0.81),E minor (0.91),G major (0.88),G major (0.90),G major (0.92),G major (0.87)
chor125,G major,G major (0.90),G major (0.97),G major (0.95),G major (0.97),G major (0.97),G major (0.95)
chor126,A minor,A minor (0.81),D minor (0.89),D minor (0.88),D minor (0.85),D minor (0.83),D minor (0.93)
chor127,G mixolydian,C major (0.87),C major (0.94),C major (0.93),C major (0.95),C major (0.92),C major (0.92)
chor128,G major,D major (0.95),G major (0.88),G major (0.90),G major (0.91),G major (0.87),G major (0.91)
chor129,E minor,D major (0.84),G major (0.85),G major (0.85),G major (0.85),G major (0.85),G major (0.81)
chor130,E minor,D major (0.94),G major (0.85),G major (0.89),G major (0.90),G major (0.86),D major (0.89)
chor131,G major,G major (0.94),G major (0.92),G major (0.94),G major (0.92),G major (0.93),G major (0.98)
chor132,A minor,G major (0.85),G major (0.87),G major (0.87),C major (0.86),C major (0.85),G major (0.85)
chor133,D dorian,D minor (0.79),D minor (0.92),D minor (0.92),D minor (0.91),D minor (0.88),D minor (0.96)
chor134,D minor,D minor (0.87),D minor (0.92),D minor (0.89),D minor (0.86),D minor (0.88),D minor (0.95)
chor135,D major,D major (0.93),D major (0.96),D major (0.95),D major (0.96),D major (0.97),D major (0.98)
chor136,G major,D major (0.89),G major (0.91),G major (0.92),G major (0.92),G major (0.91),G major (0.95)
chor137,G major,G major (0.92),G major (0.93),G major (0.96),G major (0.95),G major (0.97),G major (0.98)
chor138,E minor,E minor (0.86),E minor (0.87),E minor (0.89),E minor (0.87),E minor (0.86),E minor (0.96)
chor139,G major,G major (0.91),G major (0.89),G major (0.94),G major (0.92),G major (0.91),G major (0.91)
chor140,C major,G major (0.89),C major (0.91),C major (0.90),C major (0.93),C major (0.94),C major (0.93)
chor141,A major,A major (0.89),A major (0.91),A major (0.93),A major (0.92),A major (0.93),A major (0.96)
chor142,D minor,D minor (0.76),D minor (0.93),D minor (0.94),D minor (0.91),D minor (0.89),D minor (0.96)
chor143,F major,F major (0.93),F major (0.95),F major (0.95),F major (0.95),F major (0.99),F major (0.96)
chor144,A major,A major (0.93),A major (0.90),A major (0.94),A major (0.92),A major (0.97),A major (0.95)
chor145,A minor,A minor (0.89),A minor (0.92),A minor (0.96),A minor (0.95),A minor (0.94),A minor (0.99)
chor146,A minor,A minor (0.82),A minor (0.92),A minor (0.93),A minor (0.93),A minor (0.91),A minor (0.98)
chor147,E- major,E- major (0.90),E- major (0.92),E- major (0.97),E- major (0.96),E- major (0.94),E- major (0.96)
chor148,G major,G major (0.97),G major (0.87),G major (0.93),G major (0.89),G major (0.93),G major (0.98)
chor149,C minor,G minor (0.75),C minor (0.92),C minor (0.84),E- major (0.79),E- major (0.84),C minor (0.88)
chor151,G major,G major (0.96),G major (0.93),G major (0.93),G major (0.93),G major (0.97),G major (0.98)
chor152,D major,A major (0.91),D major (0.93),D major (0.96),D major (0.97),D major (0.94),D major (0.95)
chor153,D major,D major (0.97),D major (0.88),D major (0.96),D major (0.91),D major (0.94),D major (0.98)
chor154,G mixolydian,G major (0.90),C major (0.83),G major (0.88),C major (0.85),G major (0.81),G major (0.90)
chor155,G dorian,G minor (0.86),G minor (0.95),G minor (0.96),G minor (0.91),G minor (0.93),G minor (0.97)
chor156,A major,E major (0.88),E major (0.87),A major (0.92),A major (0.91),A major (0.90),A major (0.90)
chor157,F major,F major (0.91),F major (0.97),F major (0.96),F major (0.97),F major (0.96),F major (0.97)
chor158,G major,G major (0.93),G major (0.93),G major (0.98),G major (0.96),G major (0.95),G major (0.98)
chor159,G major,G major (0.95),G major (0.90),G major (0.93),G major (0.91),G major (0.92),G major (0.98)
chor160,G mixolydian,G major (0.93),G major (0.93),G major (0.93),G major (0.92),G major (0.93),G major (0.93)
chor161,D minor,D minor (0.85),D minor (0.93),D minor (0.84),D minor (0.80),F major (0.87),D minor (0.89)
chor162,D dorian,A minor (0.76),D minor (0.87),A minor (0.89),D minor (0.83),A minor (0.79),D minor (0.89)
chor163,G minor,G minor (0.77),G minor (0.94),G minor (0.92),G minor (0.91),G minor (0.91),G minor (0.95)
chor164,B- major,B- major (0.90),B- major (0.92),B- major (0.93),B- major (0.92),B- major (0.96),B- major (0.94)
chor165,F major,F major (0.93),F major (0.93),F major (0.96),F major (0.94),F major (0.96),F major (0.97)
chor166,G dorian,G minor (0.91),G minor (0.89),G minor (0.94),G minor (0.92),G minor (0.92),G minor (0.99)
chor167,E minor,G major (0.86),G major (0.91),G major (0.90),G major (0.91),G major (0.95),G major (0.91)
chor168,G dorian,G minor (0.84),G minor (0.91),G minor (0.87),G minor (0.77),B- major (0.82),G minor (0.92)
chor169,A major,A major (0.88),A major (0.93),A major (0.97),A major (0.97),A major (0.94),A major (0.95)
chor170,A minor,A minor (0.95),A minor (0.90),A minor (0.96),A minor (0.89),A minor (0.92),A minor (0.98)
chor171,G dorian,G minor (0.87),G minor (0.94),G minor (0.87),G minor (0.79),G minor (0.84),G minor (0.91)
chor172,G minor,G minor (0.82),G minor (0.92),G minor (0.86),B- major (0.82),B- major (0.87),G minor (0.88)
chor173,E- major,E- major (0.89),E- major (0.93),E- major (0.96),E- major (0.96),E- major (0.96),E- major (0.96)
chor174,G dorian,D minor (0.76),G minor (0.85),G minor (0.89),G minor (0.83),G minor (0.79),G minor (0.94)
chor175,C major,C major (0.90),A minor (0.87),C major (0.90),C major (0.86),C major (0.92),C major (0.92)
chor176,F major,F major (0.92),F major (0.93),F major (0.95),F major (0.94),F major (0.98),F major (0.95)
chor177,A major,A major (0.97),A major (0.87),A major (0.93),A major (0.89),A major (0.93),A major (0.98)
chor178,G minor,D minor (0.78),G minor (0.87),G minor (0.87),G minor (0.89),G minor (0.86),G minor (0.92)
chor179,E- major,E- major (0.94),E- major (0.93),E- major (0.97),E- major (0.95),E- major (0.95),E- major (0.98)
chor180,D dorian,A minor (0.82),D minor (0.90),D minor (0.89),D minor (0.85),D minor (0.85),D minor (0.93)
chor181,E minor,E minor (0.88),E minor (0.93),E minor (0.96),E minor (0.94),E minor (0.94),E minor (0.99)
chor182,G minor,G minor (0.81),G minor (0.93),G minor (0.94),G minor (0.85),G minor (0.88),G minor (0.94)
chor183,G major,G major (0.93),G major (0.95),G major (0.97),G major (0.96),G major (0.96),G major (0.98)
chor184,D dorian,D minor (0.85),D minor (0.93),D minor (0.92),D minor (0.87),D minor (0.88),D minor (0.95)
chor185,D dorian,D minor (0.77),D minor (0.96),D minor (0.85),D minor (0.81),D minor (0.82),D minor (0.90)
chor186,D dorian,D minor (0.80),D minor (0.95),D minor (0.89),F major (0.83),F major (0.89),D minor (0.90)
chor187,G mixolydian,C major (0.93),C major (0.96),C major (0.98),C major (0.98),C major (0.99),C major (0.98)
chor188,F major,F major (0.94),F major (0.89),F major (0.97),F major (0.94),F major (0.91),F major (0.97)
chor189,A major,A major (0.86),A major (0.91),A major (0.90),A major (0.89),A major (0.91),A major (0.92)
chor190,A minor,E minor (0.77),A minor (0.92),A minor (0.88),A minor (0.88),A minor (0.89),A minor (0.89)
chor191,A minor,A minor (0.85),A minor (0.95),A minor (0.87),C major (0.79),C major (0.85),A minor (0.91)
chor192,B- major,F major (0.89),B- major (0.91),B- major (0.93),B- major (0.94),B- major (0.92),B- major (0.96)
chor193,A minor,A minor (0.87),A minor (0.93),A minor (0.98),A minor (0.95),A minor (0.97),A minor (0.98)
chor194,B minor,B minor (0.86),B minor (0.94),B minor (0.94),B minor (0.91),B minor (0.93),B minor (0.97)
chor195,D major,D major (0.91),D major (0.94),D major (0.96),D major (0.97),D major (0.96),D major (0.98)
chor196,C minor,C minor (0.87),C minor (0.94),C minor (0.96),C minor (0.93),C minor (0.94),C minor (0.99)
chor197,D dorian,D minor (0.87),D minor (0.94),D minor (0.93),D minor (0.84),D minor (0.87),D minor (0.97)
chor198,A minor,A minor (0.86),A minor (0.91),A minor (0.95),A minor (0.84),A minor (0.89),A minor (0.94)
chor199,G dorian,G minor (0.82),G minor (0.97),G minor (0.89),G minor (0.83),G minor (0.86),G minor (0.92)
chor200,C major,C major (0.78),G minor (0.88),F major (0.80),F major (0.85),F major (0.79),G minor (0.81)
chor201,E- major,E- major (0.88),E- major (0.95),E- major (0.94),E- major (0.95),E- major (0.97),E- major (0.94)
chor202,D major,A major (0.88),D major (0.93),D major (0.94),D major (0.94),D major (0.91),D major (0.94)
chor203,G dorian,D major (0.80),G minor (0.81),G minor (0.90),G minor (0.93),G minor (0.87),G minor (0.92)
chor204,G minor,G minor (0.86),G minor (0.93),G minor (0.94),G minor (0.94),G minor (0.94),G minor (0.97)
chor205,C major,C major (0.78),C major (0.89),C major (0.87),C major (0.88),C major (0.88),C major (0.83)
chor206,G dorian,D minor (0.87),G minor (0.91),D minor (0.86),G minor (0.77),B- major (0.81),G minor (0.84)
chor207,D minor,D minor (0.88),D minor (0.93),D minor (0.98),D minor (0.93),D minor (0.93),D minor (1.00)
chor208,E minor,E minor (0.81),E minor (0.90),E minor (0.93),E minor (0.94),E minor (0.93),E minor (0.95)
chor209,B- major,B- major (0.92),B- major (0.94),B- major (0.97),B- major (0.97),B- major (0.95),B- major (0.96)
chor210,D dorian,A minor (0.89),A minor (0.86),A minor (0.89),D minor (0.75),A minor (0.81),A minor (0.90)
chor211,C major,G major (0.88),G major (0.88),C major (0.90),C major (0.91),C major (0.91),C major (0.87)
chor212,E- major,B- major (0.89),E- major (0.93),E- major (0.96),E- major (0.96),E- major (0.94),E- major (0.97)
chor213,D minor,D minor (0.78),D minor (0.92),D minor (0.90),D minor (0.90),D minor (0.88),D minor (0.94)
chor214,A minor,A minor (0.80),A minor (0.92),A minor (0.90),C major (0.82),C major (0.89),A minor (0.90)
chor215,G minor,G minor (0.92),G minor (0.94),G minor (0.92),G minor (0.81),G minor (0.89),G minor (0.93)
chor216,A major,E major (0.97),E major (0.84),E major (0.92),A major (0.88),E major (0.89),E major (0.93)
chor217,C major,G major (0.94),C major (0.91),G major (0.91),C major (0.92),C major (0.90),C major (0.90)
chor218,G dorian,G minor (0.89),G minor (0.95),G minor (0.90),G minor (0.88),G minor (0.92),G minor (0.94)
chor219,D minor,D minor (0.86),D minor (0.90),F major (0.89),F major (0.85),F major (0.90),F major (0.85)
chor220,D minor,F major (0.85),F major (0.90),F major (0.90),F major (0.89),F major (0.92),F major (0.88)
chor221,A minor,A minor (0.79),A minor (0.90),A minor (0.93),A minor (0.93),A minor (0.90),A minor (0.96)
chor222,G major,G major (0.86),G major (0.91),G major (0.95),G major (0.96),G major (0.91),G major (0.91)
chor223,C major,C major (0.90),C major (0.95),C major (0.96),C major (0.95),C major (0.95),C major (0.96)
chor224,F major,F major (0.92),F major (0.90),F major (0.95),F major (0.93),F major (0.93),F major (0.98)
chor225,G minor,G minor (0.81),G minor (0.98),G minor (0.89),G minor (0.85),G minor (0.88),G minor (0.92)
chor226,G minor,G minor (0.90),G minor (0.94),G minor (0.96),G minor (0.91),G minor (0.94),G minor (0.96)
chor227,D minor,G minor (0.78),G minor (0.89),G minor (0.92),G minor (0.95),G minor (0.92),G minor (0.94)
chor228,A minor,A minor (0.79),A minor (0.92),A minor (0.94),A minor (0.95),A minor (0.92),A minor (0.97)
chor229,G minor,G minor (0.91),G minor (0.96),G minor (0.96),G minor (0.94),G minor (0.96),G minor (0.99)
chor230,G minor,B- major (0.90),B- major (0.89),B- major (0.90),B- major (0.88),B- major (0.94),B- major (0.93)
chor231,G mixolydian,G major (0.89),G major (0.91),G major (0.92),G major (0.91),G major (0.89),G major (0.93)
chor232,D dorian,D minor (0.91),D minor (0.93),D minor (0.91),D minor (0.82),D minor (0.87),D minor (0.93)
chor233,A major,A major (0.94),A major (0.95),A major (0.98),A major (0.97),A major (0.96),A major (0.97)
chor234,F major,F major (0.91),F major (0.95),F major (0.97),F major (0.97),F major (0.97),F major (0.96)
chor235,F major,C major (0.93),F major (0.91),F major (0.94),F major (0.94),F major (0.91),F major (0.94)
chor236,E minor,B minor (0.73),B minor (0.88),B minor (0.86),E minor (0.76),B minor (0.76),B minor (0.87)
chor237,G dorian,D minor (0.78),G minor (0.91),G minor (0.92),G minor (0.90),G minor (0.89),G minor (0.94)
chor238,E minor,E minor (0.91),E minor (0.92),E minor (0.88),E minor (0.77),E minor (0.83),E minor (0.92)
chor239,C major,C major (0.95),C major (0.92),C major (0.98),C major (0.95),C major (0.95),C major (0.99)
chor240,A minor,A minor (0.85),A minor (0.93),A minor (0.91),A minor (0.94),A minor (0.93),A minor (0.96)
chor241,D dorian,D minor (0.81),D minor (0.95),D minor (0.86),D minor (0.80),F major (0.84),D minor (0.90)
chor242,E minor,E minor (0.77),E minor (0.96),E minor (0.87),E minor (0.82),G major (0.86),E minor (0.90)
chor243,G minor,G minor (0.83),G minor (0.98),G minor (0.91),G minor (0.92),G minor (0.93),G minor (0.94)
chor244,C dorian,C minor (0.86),C minor (0.93),C minor (0.96),C minor (0.93),C minor (0.93),C minor (0.98)
chor245,G minor,G minor (0.91),G minor (0.96),G minor (0.91),G minor (0.89),G minor (0.92),G minor (0.96)
chor246,G major,G major (0.82),G major (0.91),G major (0.87),G major (0.89),G major (0.89),G major (0.84)
chor247,G major,G major (0.85),G major (0.93),G major (0.91),G major (0.93),G major (0.96),G major (0.91)
chor248,G major,G major (0.90),G major (0.91),G major (0.97),G major (0.95),G major (0.93),G major (0.96)
chor249,G major,G major (0.84),G major (0.94),G major (0.91),G major (0.93),G major (0.96),G major (0.89)
chor250,D major,D major (0.90),D major (0.89),D major (0.97),D major (0.93),D major (0.93),D major (0.95)
chor251,G minor,G minor (0.79),G minor (0.94),G minor (0.92),G minor (0.90),G minor (0.88),G minor (0.96)
chor252,B- major,B- major (0.86),B- major (0.94),B- major (0.92),B- major (0.93),B- major (0.94),B- major (0.91)
chor253,G minor,G minor (0.81),G minor (0.90),G minor (0.92),G minor (0.94),G minor (0.91),G minor (0.96)
chor254,C major,C major (0.93),C major (0.95),C major (0.96),C major (0.95),C major (0.96),C major (0.98)
chor255,D major,D major (0.94),D major (0.93),D major (0.98),D major (0.95),D major (0.94),D major (0.97)
chor256,B- major,B- major (0.94),B- major (0.95),B- major (0.96),B- major (0.95),B- major (0.97),B- major (0.98)
